Category,German,Article,English,FigureOfSpeech,ExamplesGerman,ExamplesEnglish
People & Family,der Mann,der,man,noun,Das ist der Mann.; Der Mann liest eine Zeitung.; Der Mann arbeitet im Büro.,That is the man.; The man is reading a newspaper.; The man works in the office.
People & Family,die Frau,die,woman,noun,Das ist die Frau.; Die Frau kocht das Abendessen.; Die Frau spricht drei Sprachen.,That is the woman.; The woman is cooking dinner.; The woman speaks three languages.
People & Family,das Kind,das,child,noun,Das ist das Kind.; Das Kind spielt im Garten.; Das Kind lernt gerade lesen.,That is the child.; The child is playing in the garden.; The child is currently learning to read.
People & Family,der Junge,der,boy,noun,Das ist der Junge.; Der Junge fährt Fahrrad.; Der Junge hat viele Freunde.,That is the boy.; The boy is riding a bicycle.; The boy has many friends.
People & Family,das Mädchen,das,girl,noun,Das ist das Mädchen.; Das Mädchen malt ein Bild.; Das Mädchen singt ein Lied.,That is the girl.; The girl is painting a picture.; The girl is singing a song.
People & Family,die Familie,die,family,noun,Das ist die Familie.; Die Familie wohnt zusammen in einem Haus.; Die Familie feiert heute Geburtstag.,That is the family.; The family lives together in a house.; The family is celebrating a birthday today.
People & Family,der Vater,der,father,noun,Das ist der Vater.; Der Vater arbeitet als Ingenieur.; Der Vater hilft den Kindern bei den Hausaufgaben.,That is the father.; The father works as an engineer.; The father helps the children with their homework.
People & Family,die Mutter,die,mother,noun,Das ist die Mutter.; Die Mutter backt einen Kuchen.; Die Mutter liest ihrem Kind eine Geschichte vor.,That is the mother.; The mother is baking a cake.; The mother is reading a story to her child.
People & Family,der Bruder,der,brother,noun,Das ist der Bruder.; Der Bruder spielt Fußball.; Der Bruder ist älter als ich.,That is the brother.; The brother plays soccer.; The brother is older than me.
People & Family,die Schwester,die,sister,noun,Das ist die Schwester.; Die Schwester studiert Medizin.; Die Schwester singt im Chor.,That is the sister.; The sister is studying medicine.; The sister sings in the choir.
People & Family,der Sohn,der,son,noun,Das ist der Sohn.; Der Sohn geht zur Schule.; Der Sohn spielt gerne Videospiele.,That is the son.; The son goes to school.; The son likes to play video games.
People & Family,die Tochter,die,daughter,noun,Das ist die Tochter.; Die Tochter tanzt Ballett.; Die Tochter hilft im Haushalt.,That is the daughter.; The daughter dances ballet.; The daughter helps with the housework.
People & Family,die Eltern,die,parents,noun,Das ist die Eltern.; Die Eltern sind sehr freundlich.; Die Eltern arbeiten beide.,Those are the parents.; The parents are very friendly.; Both parents work.
People & Family,der Großvater,der,grandfather,noun,Das ist der Großvater.; Der Großvater erzählt Geschichten.; Der Großvater geht jeden Tag spazieren.,That is the grandfather.; The grandfather tells stories.; The grandfather goes for a walk every day.
People & Family,die Großmutter,die,grandmother,noun,Das ist die Großmutter.; Die Großmutter backt Kekse.; Die Großmutter liebt ihren Garten.,That is the grandmother.; The grandmother is baking cookies.; The grandmother loves her garden.
People & Family,der Freund,der,friend (male),noun,Das ist der Freund.; Mein Freund spielt gerne Fußball.; Hast du gestern deinen Freund getroffen?,That is the friend.; My friend likes to play soccer.; Did you meet your friend yesterday?
People & Family,die Freundin,die,friend (female),noun,Das ist die Freundin.; Meine Freundin liest gerne Bücher.; Sie hat ihre Freundin zum Geburtstag eingeladen.,That is the friend.; My friend likes to read books.; She invited her friend to the birthday.
People & Family,der Ehemann,der,husband,noun,Das ist der Ehemann.; Der Ehemann hilft seiner Frau im Haushalt.; Mein Ehemann arbeitet in der Stadt.,That is the husband.; The husband helps his wife with the household.; My husband works in the city.
People & Family,die Ehefrau,die,wife,noun,Das ist die Ehefrau.; Die Ehefrau kocht sehr gut.; Seine Ehefrau ist Ärztin.,That is the wife.; The wife cooks very well.; His wife is a doctor.
People & Family,das Baby,das,baby,noun,Das ist das Baby.; Das Baby schläft den ganzen Tag.; Wir haben ein neues Baby im Haus.,That is the baby.; The baby sleeps all day.; We have a new baby in the house.
People & Family,der Onkel,der,uncle,noun,Das ist der Onkel.; Mein Onkel besucht uns im Sommer.; Der Onkel erzählt immer lustige Geschichten.,That is the uncle.; My uncle visits us in the summer.; The uncle always tells funny stories.
People & Family,die Tante,die,aunt,noun,Das ist die Tante.; Die Tante backt einen Kuchen.; Unsere Tante wohnt in Berlin.,That is the aunt.; The aunt is baking a cake.; Our aunt lives in Berlin.
People & Family,der Cousin,der,cousin (male),noun,Das ist der Cousin.; Mein Cousin spielt Gitarre.; Der Cousin kommt nächste Woche zu Besuch.,That is the cousin.; My cousin plays guitar.; The cousin is coming to visit next week.
People & Family,die Cousine,die,cousin (female),noun,Das ist die Cousine.; Meine Cousine studiert Medizin.; Die Cousine wohnt in München.,That is the cousin.; My cousin studies medicine.; The cousin lives in Munich.
People & Family,der Name,der,name,noun,Das ist der Name.; Wie ist dein Name?; Sein Name ist sehr bekannt.,That is the name.; What is your name?; His name is very well known.
People & Family,der Nachname,der,surname,noun,Das ist der Nachname.; Mein Nachname ist Müller.; Sie hat einen seltenen Nachnamen.,That is the surname.; My surname is Müller.; She has a rare surname.
