Category,German,Article,English,Example (DE)
People & Family,der Mann,der,man,Das ist der Mann.
People & Family,die Frau,die,woman,Das ist die Frau.
People & Family,das Kind,das,child,Das ist das Kind.
People & Family,der Junge,der,boy,Das ist der Junge.
People & Family,das Mädchen,das,girl,Das ist das Mädchen.
People & Family,die Familie,die,family,Das ist die Familie.
People & Family,der Vater,der,father,Das ist der Vater.
People & Family,die Mutter,die,mother,Das ist die Mutter.
People & Family,der Bruder,der,brother,Das ist der Bruder.
People & Family,die Schwester,die,sister,Das ist die Schwester.
People & Family,der Sohn,der,son,Das ist der Sohn.
People & Family,die Tochter,die,daughter,Das ist die Tochter.
People & Family,die Eltern,die,parents,Das ist die Eltern.
People & Family,der Großvater,der,grandfather,Das ist der Großvater.
People & Family,die Großmutter,die,grandmother,Das ist die Großmutter.
People & Family,der Freund,der,friend (male),Das ist der Freund.
People & Family,die Freundin,die,friend (female),Das ist die Freundin.
People & Family,der Ehemann,der,husband,Das ist der Ehemann.
People & Family,die Ehefrau,die,wife,Das ist die Ehefrau.
People & Family,das Baby,das,baby,Das ist das Baby.
People & Family,der Onkel,der,uncle,Das ist der Onkel.
People & Family,die Tante,die,aunt,Das ist die Tante.
People & Family,der Cousin,der,cousin (male),Das ist der Cousin.
People & Family,die Cousine,die,cousin (female),Das ist die Cousine.
People & Family,der Name,der,name,Das ist der Name.
People & Family,der Nachname,der,surname,Das ist der Nachname.
People & Family,der Vorname,der,first name,Das ist der Vorname.
People & Family,das Alter,das,age,Das ist das Alter.
People & Family,ledig,,single,Ich mag ledig.
People & Family,verheiratet,,married,Ich mag verheiratet.
People & Family,geschieden,,divorced,Ich mag geschieden.
People & Family,verwitwet,,widowed,Ich mag verwitwet.
Food & Drink,das Brot,das,bread,Das ist das Brot.
Food & Drink,die Milch,die,milk,Das ist die Milch.
Food & Drink,das Wasser,das,water,Das ist das Wasser.
Food & Drink,der Kaffee,der,coffee,Das ist der Kaffee.
Food & Drink,der Tee,der,tea,Das ist der Tee.
Food & Drink,die Suppe,die,soup,Das ist die Suppe.
Food & Drink,der Fisch,der,fish,Das ist der Fisch.
Food & Drink,das Fleisch,das,meat,Das ist das Fleisch.
Food & Drink,die Kartoffel,die,potato,Das ist die Kartoffel.
Food & Drink,der Reis,der,rice,Das ist der Reis.
Food & Drink,das Gemüse,das,vegetables,Das ist das Gemüse.
Food & Drink,das Obst,das,fruit,Das ist das Obst.
Food & Drink,der Apfel,der,apple,Das ist der Apfel.
Food & Drink,die Banane,die,banana,Das ist die Banane.
Food & Drink,die Orange,die,orange,Das ist die Orange.
Food & Drink,die Zitrone,die,lemon,Das ist die Zitrone.
Food & Drink,die Traube,die,grape,Das ist die Traube.
Food & Drink,die Tomate,die,tomato,Das ist die Tomate.
Food & Drink,die Gurke,die,cucumber,Das ist die Gurke.
Food & Drink,der Salat,der,salad,Das ist der Salat.
Food & Drink,der Käse,der,cheese,Das ist der Käse.
Food & Drink,die Butter,die,butter,Das ist die Butter.
Food & Drink,das Ei,das,egg,Das ist das Ei.
Food & Drink,der Zucker,der,sugar,Das ist der Zucker.
Food & Drink,das Salz,das,salt,Das ist das Salz.
Food & Drink,der Pfeffer,der,pepper,Das ist der Pfeffer.
Food & Drink,das Öl,das,oil,Das ist das Öl.
Food & Drink,der Honig,der,honey,Das ist der Honig.
Food & Drink,das Bier,das,beer,Das ist das Bier.
Food & Drink,der Wein,der,wine,Das ist der Wein.
Food & Drink,das Frühstück,das,breakfast,Das ist das Frühstück.
Food & Drink,das Mittagessen,das,lunch,Das ist das Mittagessen.
Food & Drink,das Abendessen,das,dinner,Das ist das Abendessen.
Food & Drink,der Nachtisch,der,dessert,Das ist der Nachtisch.
Food & Drink,die Speisekarte,die,menu,Das ist die Speisekarte.
Food & Drink,die Rechnung,die,bill,Das ist die Rechnung.
Food & Drink,vegetarisch,,vegetarian,Ich mag vegetarisch.
Food & Drink,vegan,,vegan,Ich mag vegan.
Food & Drink,glutenfrei,,gluten‑free,Ich mag glutenfrei.
Food & Drink,Prost!,,cheers!,Ich mag Prost!.
Food & Drink,der Durst,der,thirst,Das ist der Durst.
Food & Drink,der Hunger,der,hunger,Das ist der Hunger.
Food & Drink,Guten Appetit!,,enjoy your meal,Ich mag Guten Appetit!.
Food & Drink,teuer,,expensive,Ich mag teuer.
Food & Drink,billig,,cheap,Ich mag billig.
Food & Drink,bezahlen,,to pay,Ich mag bezahlen.
Food & Drink,bestellen,,to order,Ich mag bestellen.
Food & Drink,kochen,,to cook,Ich mag kochen.
Food & Drink,backen,,to bake,Ich mag backen.
Food & Drink,schmecken,,to taste,Ich mag schmecken.
Home & Objects,das Haus,das,house,Das ist das Haus.
Home & Objects,die Wohnung,die,apartment,Das ist die Wohnung.
Home & Objects,das Zimmer,das,room,Das ist das Zimmer.
Home & Objects,die Küche,die,kitchen,Das ist die Küche.
Home & Objects,das Bad,das,bathroom,Das ist das Bad.
Home & Objects,das Schlafzimmer,das,bedroom,Das ist das Schlafzimmer.
Home & Objects,das Wohnzimmer,das,living room,Das ist das Wohnzimmer.
Home & Objects,der Balkon,der,balcony,Das ist der Balkon.
Home & Objects,die Tür,die,door,Das ist die Tür.
Home & Objects,das Fenster,das,window,Das ist das Fenster.
Home & Objects,der Tisch,der,table,Das ist der Tisch.
Home & Objects,der Stuhl,der,chair,Das ist der Stuhl.
Home & Objects,das Bett,das,bed,Das ist das Bett.
Home & Objects,die Lampe,die,lamp,Das ist die Lampe.
Home & Objects,der Schrank,der,wardrobe,Das ist der Schrank.
Home & Objects,die Dusche,die,shower,Das ist die Dusche.
Home & Objects,die Badewanne,die,bathtub,Das ist die Badewanne.
Home & Objects,der Spiegel,der,mirror,Das ist der Spiegel.
Home & Objects,der Teppich,der,carpet,Das ist der Teppich.
Home & Objects,der Fernseher,der,television,Das ist der Fernseher.
Home & Objects,die Waschmaschine,die,washing machine,Das ist die Waschmaschine.
Home & Objects,der Kühlschrank,der,fridge,Das ist der Kühlschrank.
Home & Objects,der Herd,der,stove,Das ist der Herd.
Home & Objects,die Heizung,die,heater,Das ist die Heizung.
Home & Objects,die Treppe,die,stairs,Das ist die Treppe.
Home & Objects,der Aufzug,der,elevator,Das ist der Aufzug.
Home & Objects,die Miete,die,rent,Das ist die Miete.
Home & Objects,der Schlüssel,der,key,Das ist der Schlüssel.
Home & Objects,umziehen,,to move (house),Ich mag umziehen.
Home & Objects,der Vermieter,der,landlord,Das ist der Vermieter.
Home & Objects,die Nachbarn,die,neighbours,Das ist die Nachbarn.
Home & Objects,die Adresse,die,address,Das ist die Adresse.
Home & Objects,die Postleitzahl,die,postal code,Das ist die Postleitzahl.
Home & Objects,das Dorf,das,village,Das ist das Dorf.
Home & Objects,die Stadt,die,city,Das ist die Stadt.
Home & Objects,zentral,,central,Ich mag zentral.
Home & Objects,ruhig,,quiet,Ich mag ruhig.
Home & Objects,laut,,loud,Ich mag laut.
Home & Objects,weit,,far,Ich mag weit.
Numbers & Time,,,zero,Es ist nan Uhr.
Numbers & Time,eins,,one,Ich habe eins Bücher.
Numbers & Time,zwei,,two,Ich habe zwei Bücher.
Numbers & Time,drei,,three,Ich habe drei Bücher.
Numbers & Time,vier,,four,Ich habe vier Bücher.
